valuation_date,expiry,maturity,spot,rate,dividend,strike,call_mid
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,314.000000,2.8800000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,315.000000,2.3700000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,316.000000,1.9200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,317.000000,1.5400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,318.000000,1.2000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,319.000000,0.9400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,320.000000,0.7200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,321.000000,0.5400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,322.000000,0.4000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,323.000000,0.3000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,324.000000,0.2200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,325.000000,0.1700000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,326.000000,0.1300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,327.000000,0.1000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,328.000000,0.0800000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,329.000000,0.0600000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,330.000000,0.0500000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,331.000000,0.0400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,332.000000,0.0300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,333.000000,0.0300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,334.000000,0.0200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,335.000000,0.0200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,336.000000,0.0200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,337.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,338.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,339.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,340.000000,0.0200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,341.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,342.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,343.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,344.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,345.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,346.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,347.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,348.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,349.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,350.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,351.000000,0.0100000000
